province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Iowa,US,08-04-20,,,,0,1,0,0,90019,Unassigned,
Iowa,US,03-06-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,22-05-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,28-06-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,22-04-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,22-06-20,,,,8,0,0,8,90019,Unassigned,
Iowa,US,19-06-20,,,,9,0,0,9,90019,Unassigned,
Iowa,US,19-05-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,28-04-20,,,,13,0,0,13,90019,Unassigned,
Iowa,US,28-05-20,,,,1,0,0,1,90019,Unassigned,
Iowa,US,19-04-20,,,,7,0,0,7,90019,Unassigned,
Iowa,US,04-05-20,,,,95,0,0,95,90019,Unassigned,
Iowa,US,04-07-20,,,,16,0,0,16,90019,Unassigned,
Iowa,US,04-06-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,13-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,31-05-20,,,,1,0,0,1,90019,Unassigned,
Iowa,US,13-04-20,,,,0,3,0,-3,90019,Unassigned,
Iowa,US,13-05-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,04-04-20,,,,0,3,0,0,90019,Unassigned,
Iowa,US,12-06-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,12-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),163,7,0,156,19183,Washington,
Iowa,US,18-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),113,5,0,108,19183,Washington,
Iowa,US,29-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),139,7,0,132,19183,Washington,
Iowa,US,12-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),81,4,0,77,19183,Washington,
Iowa,US,18-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),172,8,0,164,19183,Washington,
Iowa,US,29-03-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),13,0,0,0,19183,Washington,
Iowa,US,18-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),210,9,0,201,19183,Washington,
Iowa,US,30-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),225,9,0,216,19183,Washington,
Iowa,US,30-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),188,8,0,180,19183,Washington,
Iowa,US,23-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),214,9,0,205,19183,Washington,
Iowa,US,05-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),49,3,0,0,19183,Washington,
Iowa,US,23-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),179,8,0,171,19183,Washington,
Iowa,US,23-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),124,5,0,119,19183,Washington,
Iowa,US,29-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),187,8,0,179,19183,Washington,
Iowa,US,29-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),225,9,0,216,19183,Washington,
Iowa,US,23-03-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),3,0,0,0,19183,Washington,
Iowa,US,02-07-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),234,9,0,225,19183,Washington,
Iowa,US,02-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),190,8,0,182,19183,Washington,
Iowa,US,02-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),145,7,0,138,19183,Washington,
Iowa,US,30-03-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),18,1,0,0,19183,Washington,
Iowa,US,30-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),141,7,0,134,19183,Washington,
Iowa,US,02-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),36,2,0,0,19183,Washington,
Iowa,US,24-03-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),4,0,0,0,19183,Washington,
Iowa,US,24-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),131,5,0,126,19183,Washington,
Iowa,US,09-04-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),65,3,0,0,19183,Washington,
Iowa,US,09-05-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),156,7,0,149,19183,Washington,
Iowa,US,15-06-20,41.33577126,-91.71725711,POINT(-91.71725711 41.33577126),208,9,0,199,19183,Washington,
